cluster_id,timestamp,temperature,soilTemperature,humidity,soilMoisture,azote_mg_kg,phosphore_mg_kg,potassium_mg_kg,ph
cluster_09,2025-12-10 05:00:00,18.97,18.24,71.62,56.99,133.48,,196.56,6.77
cluster_10,2025-12-10 05:00:00,17.44,17.4,69.15,60.62,133.92,30.58,199.29,6.82
cluster_01,2025-12-10 05:30:00,19.97,19.24,68.54,56.46,132.95,29.78,200.1,6.72
cluster_02,2025-12-10 05:30:00,19.75,19.13,71.13,61.77,133.69,29.17,199.24,6.78
cluster_03,2025-12-10 05:30:00,17.95,17.51,66.26,61.45,133.29,30.22,200.3,6.9
cluster_04,2025-12-10 05:30:00,17.43,19.17,67.15,63.26,133.7,30.68,202.01,6.76
cluster_05,2025-12-10 05:30:00,18.69,16.58,62.49,69.06,142.85,31.63,205.14,6.82
cluster_06,2025-12-10 05:30:00,21.67,21.54,63.62,50.69,121.18,27.74,192.95,6.68
cluster_07,2025-12-10 05:30:00,,18.47,64.76,56.57,129.83,28.07,,6.71
cluster_08,2025-12-10 05:30:00,19.45,18.84,70.86,59.91,133.49,29.66,197.15,6.79
cluster_09,2025-12-10 05:30:00,19.91,18.58,70.82,62.25,134.99,28.99,199.16,6.91
cluster_10,2025-12-10 05:30:00,17.78,3.76,67.34,12.04,135.06,29.96,198.15,6.74
cluster_01,2025-12-10 06:00:00,20.33,19.65,69.88,56.51,132.36,29.23,197.95,6.79
cluster_02,2025-12-10 06:00:00,19.13,20.79,67.18,59.73,135.69,30.08,196.0,6.85
cluster_03,2025-12-10 06:00:00,20.26,19.25,64.12,60.64,137.71,29.63,201.16,6.83
cluster_04,2025-12-10 06:00:00,20.14,19.88,63.74,60.79,137.01,30.87,201.33,6.82
cluster_05,2025-12-10 06:00:00,17.85,17.96,65.27,67.27,142.04,31.21,207.32,6.88
cluster_06,2025-12-10 06:00:00,21.76,21.67,64.13,50.2,120.98,,191.79,6.62
cluster_07,2025-12-10 06:00:00,20.68,21.1,62.74,56.13,130.45,29.21,197.56,6.75
cluster_08,2025-12-10 06:00:00,20.65,20.93,64.86,58.0,130.42,29.55,198.43,6.81
cluster_09,2025-12-10 06:00:00,19.55,19.74,68.8,61.52,133.01,30.4,199.17,6.77
cluster_10,2025-12-10 06:00:00,19.8,20.26,68.34,58.94,134.12,29.47,200.05,6.8
cluster_01,2025-12-10 06:30:00,21.85,22.09,60.29,58.82,133.4,29.77,198.58,6.86
cluster_02,2025-12-10 06:30:00,20.21,20.34,62.69,61.58,134.82,29.83,198.79,6.83
cluster_03,2025-12-10 06:30:00,21.89,21.77,,62.59,137.23,30.0,200.37,6.87
cluster_04,2025-12-10 06:30:00,21.45,20.44,60.67,61.07,136.13,29.92,199.54,6.84
cluster_05,2025-12-10 06:30:00,19.19,20.03,62.13,67.71,144.98,30.84,208.16,6.94
cluster_06,2025-12-10 06:30:00,23.41,,64.28,50.3,121.09,26.89,191.07,6.64
cluster_07,2025-12-10 06:30:00,21.48,22.53,63.79,55.19,130.98,29.0,196.38,6.72
cluster_08,2025-12-10 06:30:00,20.98,20.38,68.77,58.56,132.64,29.98,201.74,6.76
cluster_09,2025-12-10 06:30:00,21.27,20.24,62.24,59.22,133.51,29.19,198.97,6.83
cluster_10,2025-12-10 06:30:00,20.96,21.67,64.03,61.7,135.98,29.7,199.05,6.8
cluster_01,2025-12-10 07:00:00,21.89,22.78,62.26,58.12,130.31,29.3,199.05,6.83
cluster_02,2025-12-10 07:00:00,22.33,21.64,59.93,61.93,132.82,30.14,201.93,6.82
cluster_03,2025-12-10 07:00:00,21.79,23.3,58.43,63.03,134.62,30.95,202.57,
cluster_04,2025-12-10 07:00:00,20.82,21.83,58.67,61.43,134.54,30.89,200.88,6.85
cluster_05,2025-12-10 07:00:00,20.11,22.18,60.5,66.69,145.35,31.78,204.05,6.91
cluster_06,2025-12-10 07:00:00,25.56,24.25,61.61,49.01,122.06,25.95,193.78,6.72
cluster_07,2025-12-10 07:00:00,23.07,23.47,61.64,58.68,131.03,28.81,193.93,6.79
cluster_08,2025-12-10 07:00:00,23.87,21.69,62.89,58.01,132.97,30.35,198.36,6.76
cluster_09,2025-12-10 07:00:00,22.56,21.87,56.38,58.04,133.44,30.32,198.93,6.78
cluster_10,2025-12-10 07:00:00,21.43,21.24,64.46,60.66,134.3,29.75,203.13,6.76
cluster_01,2025-12-10 07:30:00,25.63,22.6,53.63,57.83,130.03,29.45,194.4,6.7
cluster_02,2025-12-10 07:30:00,23.06,23.6,58.06,61.58,136.63,30.05,200.63,6.84
cluster_03,2025-12-10 07:30:00,23.04,22.58,55.89,61.73,135.6,30.6,200.68,6.83
cluster_04,2025-12-10 07:30:00,22.57,22.29,57.02,61.36,134.61,29.86,198.69,6.84
cluster_05,2025-12-10 07:30:00,,23.14,58.24,64.59,143.23,31.51,199.74,6.96
cluster_06,2025-12-10 07:30:00,24.8,25.15,59.75,50.5,121.21,27.57,189.71,6.64
cluster_07,2025-12-10 07:30:00,25.09,23.93,57.09,55.75,132.49,28.12,39.13,6.72
cluster_08,2025-12-10 07:30:00,23.6,23.59,58.05,57.92,132.3,28.8,195.03,6.77
cluster_09,2025-12-10 07:30:00,23.11,23.21,57.75,60.43,133.13,29.77,198.61,6.81
cluster_10,2025-12-10 07:30:00,23.03,22.88,57.48,61.57,,30.64,199.12,6.81
cluster_01,2025-12-10 08:00:00,25.21,24.34,53.26,58.82,130.4,29.66,197.98,6.73
cluster_02,2025-12-10 08:00:00,23.43,24.64,51.53,60.92,134.25,29.78,201.14,6.91
cluster_03,2025-12-10 08:00:00,24.2,22.84,53.23,60.51,137.37,29.92,198.56,6.76
cluster_04,2025-12-10 08:00:00,23.18,23.73,54.44,62.23,137.6,30.8,205.75,6.83
cluster_05,2025-12-10 08:00:00,22.91,22.94,56.22,68.09,144.96,31.48,201.81,6.87
cluster_06,2025-12-10 08:00:00,26.28,25.42,51.43,50.02,119.05,27.65,192.0,6.77
cluster_07,2025-12-10 08:00:00,24.46,24.45,53.18,55.88,129.67,29.28,196.69,6.84
cluster_08,2025-12-10 08:00:00,24.34,23.69,56.22,56.92,131.51,5.92,198.66,6.78
cluster_09,2025-12-10 08:00:00,25.69,21.94,55.98,59.22,135.26,30.2,200.98,34.12
cluster_10,2025-12-10 08:00:00,24.02,24.65,55.65,,135.78,30.3,199.15,6.79
cluster_01,2025-12-10 08:30:00,25.53,25.99,53.37,58.2,133.38,29.12,196.84,6.83
cluster_02,2025-12-10 08:30:00,25.94,24.74,50.26,59.57,134.29,30.62,200.21,6.75
cluster_03,2025-12-10 08:30:00,23.85,24.24,55.09,61.08,135.07,29.66,199.8,6.73
cluster_04,2025-12-10 08:30:00,24.4,24.91,55.61,63.28,137.16,30.68,198.15,6.8
cluster_05,2025-12-10 08:30:00,24.55,24.29,50.15,,143.29,31.05,202.49,6.94
cluster_06,2025-12-10 08:30:00,26.25,25.91,53.4,49.58,120.48,26.4,193.66,6.7
cluster_07,2025-12-10 08:30:00,26.83,25.35,48.83,56.63,,29.6,197.05,6.7
cluster_08,2025-12-10 08:30:00,25.15,24.55,50.65,57.04,133.25,29.35,199.24,6.83
cluster_09,2025-12-10 08:30:00,25.41,25.21,51.27,58.68,132.17,30.48,200.65,6.77
cluster_10,2025-12-10 08:30:00,24.3,24.74,54.34,62.19,135.89,30.14,-204.47,6.83
cluster_01,2025-12-10 09:00:00,26.29,25.24,51.69,59.07,131.46,29.54,196.1,6.72
cluster_02,2025-12-10 09:00:00,26.01,25.64,53.7,59.76,133.94,29.06,200.22,6.83
cluster_03,2025-12-10 09:00:00,24.95,27.3,53.33,59.51,134.63,30.2,201.28,6.78
cluster_04,2025-12-10 09:00:00,26.21,25.52,52.07,61.17,136.31,29.42,199.69,6.8
cluster_05,2025-12-10 09:00:00,24.6,23.6,50.13,67.7,142.16,32.4,203.52,
cluster_06,2025-12-10 09:00:00,26.55,26.13,46.39,48.92,124.43,27.27,195.26,
cluster_07,2025-12-10 09:00:00,25.26,26.18,50.76,58.48,129.43,29.34,194.38,6.73
cluster_08,2025-12-10 09:00:00,26.13,26.05,50.17,57.83,131.09,29.62,201.35,6.8
cluster_09,2025-12-10 09:00:00,26.29,25.92,53.17,60.14,132.16,30.04,200.44,6.76
cluster_10,2025-12-10 09:00:00,26.74,26.01,,61.06,134.7,29.44,199.51,6.8
cluster_01,2025-12-10 09:30:00,25.91,27.25,45.53,58.18,132.22,29.42,197.96,6.77
cluster_02,2025-12-10 09:30:00,27.28,25.93,47.03,58.73,137.04,29.49,198.33,6.77
cluster_03,2025-12-10 09:30:00,26.8,,54.63,61.69,136.99,30.29,202.99,6.88
cluster_04,2025-12-10 09:30:00,24.9,131.08,48.45,61.0,138.77,30.35,200.64,6.75
cluster_05,2025-12-10 09:30:00,25.08,25.34,49.61,67.8,143.12,32.08,203.15,6.96
cluster_06,2025-12-10 09:30:00,26.95,27.14,49.73,51.51,121.94,27.64,193.99,6.7
cluster_07,2025-12-10 09:30:00,27.51,25.58,54.03,55.16,130.23,28.79,199.97,6.84
cluster_08,2025-12-10 09:30:00,26.62,26.05,45.88,57.17,133.99,29.83,198.18,6.8
cluster_09,2025-12-10 09:30:00,26.2,25.98,50.57,60.08,134.35,29.98,193.08,6.88
cluster_10,2025-12-10 09:30:00,26.54,26.57,49.08,61.31,134.02,30.46,200.33,6.77
cluster_01,2025-12-10 10:00:00,27.21,26.47,47.83,59.7,132.52,29.13,202.11,6.8
cluster_02,2025-12-10 10:00:00,28.41,26.6,49.22,60.2,133.01,30.07,201.05,6.83
cluster_03,2025-12-10 10:00:00,28.01,27.98,45.22,62.25,137.21,30.48,201.78,6.87
cluster_04,2025-12-10 10:00:00,26.59,25.64,51.9,63.67,137.6,30.17,203.98,6.91
cluster_05,2025-12-10 10:00:00,25.15,25.55,47.87,71.07,142.25,32.12,206.3,
cluster_06,2025-12-10 10:00:00,28.25,28.31,48.28,,123.56,27.14,191.7,6.75
cluster_07,2025-12-10 10:00:00,25.74,27.45,49.12,58.69,128.99,29.03,196.99,6.75
cluster_08,2025-12-10 10:00:00,27.72,26.99,50.29,59.07,133.56,-29.85,197.95,6.8
cluster_09,2025-12-10 10:00:00,25.67,27.0,46.09,57.14,133.37,29.95,200.02,6.84
cluster_10,2025-12-10 10:00:00,26.44,26.82,49.51,61.98,138.82,29.91,201.62,6.79
cluster_01,2025-12-10 10:30:00,26.35,26.86,47.89,58.79,131.01,29.16,199.39,6.73
cluster_02,2025-12-10 10:30:00,27.06,27.3,44.68,59.83,,29.12,201.37,6.75
cluster_03,2025-12-10 10:30:00,27.15,26.56,46.97,58.94,136.26,29.96,199.01,6.83
cluster_04,2025-12-10 10:30:00,27.63,26.37,46.75,62.53,137.79,29.94,201.37,34.07
cluster_05,2025-12-10 10:30:00,26.07,26.29,46.15,67.37,142.54,31.6,206.44,
cluster_06,2025-12-10 10:30:00,29.15,28.91,49.96,49.05,120.66,26.76,194.76,6.73
cluster_07,2025-12-10 10:30:00,27.0,27.39,51.18,57.4,129.55,28.14,197.72,6.7
cluster_08,2025-12-10 10:30:00,26.33,28.04,49.46,58.14,133.3,29.48,200.73,6.83
cluster_09,2025-12-10 10:30:00,26.24,27.37,48.76,58.49,133.89,28.62,196.51,6.83
cluster_10,2025-12-10 10:30:00,28.35,27.72,47.11,63.35,135.45,30.13,197.89,6.83
cluster_01,2025-12-10 11:00:00,28.44,28.25,46.1,57.41,133.55,29.51,197.45,6.8
cluster_02,2025-12-10 11:00:00,29.3,27.68,45.47,62.59,136.06,29.87,201.4,6.78
cluster_03,2025-12-10 11:00:00,27.67,28.45,46.21,60.32,136.14,30.54,205.29,
cluster_04,2025-12-10 11:00:00,27.05,26.48,47.17,63.57,137.18,31.19,198.31,6.81
cluster_05,2025-12-10 11:00:00,25.39,26.01,42.63,67.1,143.76,30.6,203.44,6.96
cluster_06,2025-12-10 11:00:00,30.53,30.11,40.97,50.2,120.95,27.61,192.05,6.71
cluster_07,2025-12-10 11:00:00,27.79,27.42,46.1,55.76,129.94,29.73,197.96,6.77
cluster_08,2025-12-10 11:00:00,26.92,28.03,42.11,56.8,134.56,28.71,198.53,6.79
cluster_09,2025-12-10 11:00:00,27.89,27.69,44.76,60.05,132.46,29.83,200.8,6.82
cluster_10,2025-12-10 11:00:00,27.66,27.01,42.6,62.18,135.77,30.76,203.05,6.86
cluster_01,2025-12-10 11:30:00,29.1,28.57,-44.58,58.76,,29.16,200.06,6.71
cluster_02,2025-12-10 11:30:00,27.48,27.99,,59.74,135.56,30.83,39.76,6.79
cluster_03,2025-12-10 11:30:00,28.05,28.43,47.97,60.6,135.61,31.01,201.51,6.81
cluster_04,2025-12-10 11:30:00,26.94,27.66,43.32,62.46,137.15,30.21,203.91,
cluster_05,2025-12-10 11:30:00,26.73,26.11,41.05,66.48,142.5,32.66,206.18,6.88
cluster_06,2025-12-10 11:30:00,30.45,30.21,47.62,47.8,120.64,26.91,38.07,6.74
cluster_07,2025-12-10 11:30:00,27.84,27.84,45.9,,127.95,28.99,195.77,6.75
cluster_08,2025-12-10 11:30:00,28.06,27.45,48.04,,132.99,29.09,197.27,6.8
cluster_09,2025-12-10 11:30:00,29.16,26.86,45.44,58.18,136.12,29.27,202.08,6.82
cluster_10,2025-12-10 11:30:00,28.32,28.38,37.03,60.87,136.53,30.43,202.43,6.82
cluster_01,2025-12-10 12:00:00,28.29,28.05,43.97,58.97,132.48,29.92,200.63,6.74
cluster_02,2025-12-10 12:00:00,29.05,29.27,38.29,59.7,135.91,30.02,39.23,6.85
cluster_03,2025-12-10 12:00:00,27.44,27.91,44.08,60.78,137.43,30.69,203.14,6.84
cluster_04,2025-12-10 12:00:00,27.71,27.65,43.38,60.97,134.19,,202.33,6.96
cluster_05,2025-12-10 12:00:00,25.78,26.65,45.4,67.72,142.16,31.91,204.9,6.9
cluster_06,2025-12-10 12:00:00,29.87,29.71,41.39,50.7,-119.32,26.13,192.18,6.68
cluster_07,2025-12-10 12:00:00,28.31,,51.48,57.18,128.97,27.81,198.18,6.73
cluster_08,2025-12-10 12:00:00,28.33,28.62,43.51,56.95,133.77,29.93,201.34,6.85
cluster_09,2025-12-10 12:00:00,28.67,27.23,45.39,59.53,131.03,,197.39,6.91
cluster_10,2025-12-10 12:00:00,28.11,27.57,46.7,60.89,134.99,29.37,203.14,6.78
cluster_01,2025-12-10 12:30:00,27.57,28.32,42.28,11.86,132.27,28.95,199.82,6.8
cluster_02,2025-12-10 12:30:00,28.16,28.21,46.17,60.85,134.64,29.95,201.97,6.86
cluster_03,2025-12-10 12:30:00,26.63,28.23,46.05,59.59,136.74,30.24,200.67,6.83
cluster_04,2025-12-10 12:30:00,28.07,27.78,49.61,60.36,137.32,30.53,201.68,6.77
cluster_05,2025-12-10 12:30:00,25.43,25.58,44.78,67.22,142.77,31.2,203.85,6.96
cluster_06,2025-12-10 12:30:00,30.02,29.63,42.7,50.51,119.51,25.94,195.69,6.73
cluster_07,2025-12-10 12:30:00,26.85,,45.28,55.6,129.02,28.98,195.93,6.72
cluster_08,2025-12-10 12:30:00,28.66,26.66,46.94,57.2,134.83,28.18,198.87,6.76
cluster_09,2025-12-10 12:30:00,28.31,28.63,47.39,59.45,134.44,29.04,198.96,6.8
cluster_10,2025-12-10 12:30:00,27.78,27.67,43.85,59.97,135.31,29.33,198.78,6.82
cluster_01,2025-12-10 13:00:00,27.45,27.56,50.21,56.78,133.44,29.37,198.67,6.7
cluster_02,2025-12-10 13:00:00,27.79,27.98,46.67,59.83,135.39,29.24,198.48,6.73
cluster_03,2025-12-10 13:00:00,28.82,27.7,46.93,61.77,136.12,30.21,202.29,6.73
cluster_04,2025-12-10 13:00:00,26.95,27.48,45.39,60.02,,30.81,202.41,6.81
cluster_05,2025-12-10 13:00:00,26.53,25.54,46.11,67.03,143.6,31.61,206.06,6.87
cluster_06,2025-12-10 13:00:00,29.46,28.62,44.21,50.77,601.6,27.81,193.49,6.69
cluster_07,2025-12-10 13:00:00,29.26,5.72,44.48,57.43,127.68,29.23,979.8,6.91
cluster_08,2025-12-10 13:00:00,27.52,27.62,46.27,59.95,132.38,,198.49,6.75
cluster_09,2025-12-10 13:00:00,28.39,27.65,49.3,58.26,133.04,29.14,198.58,6.82
cluster_10,2025-12-10 13:00:00,26.0,26.94,45.85,,135.44,29.86,200.68,6.89
cluster_01,2025-12-10 13:30:00,27.93,27.69,,58.74,130.65,29.31,197.03,6.8
cluster_02,2025-12-10 13:30:00,29.46,27.01,45.65,62.16,135.49,29.77,198.01,6.82
cluster_03,2025-12-10 13:30:00,27.79,26.59,46.11,60.73,136.62,30.02,202.44,6.76
cluster_04,2025-12-10 13:30:00,26.24,26.6,42.9,62.63,137.04,,206.1,6.85
cluster_05,2025-12-10 13:30:00,25.56,25.01,49.55,68.84,142.2,31.83,204.3,6.82
