cluster_id,timestamp,x,y,temperature,soilTemperature,humidity,soilMoisture,azote_mg_kg,phosphore_mg_kg,potassium_mg_kg,ph
cluster_08,2025-12-10 04:00:00,44.9,69.9,16.2,16.4,72.5,58.5,131.7,29.7,201.0,6.74
cluster_09,2025-12-10 04:00:00,66.9,75.4,15.4,16.3,76.2,60.6,135.1,29.8,198.6,6.76
cluster_10,2025-12-10 04:00:00,88.9,71.7,16.4,15.9,73.3,60.9,136.8,30.1,202.2,6.88
cluster_01,2025-12-10 04:30:00,8.0,32.2,17.4,17.2,72.2,58.5,130.7,28.7,196.0,6.78
cluster_02,2025-12-10 04:30:00,33.7,26.6,16.5,16.9,71.2,58.4,134.4,30.7,201.6,6.95
cluster_03,2025-12-10 04:30:00,44.5,19.5,16.0,16.7,74.2,62.2,136.0,29.0,202.3,6.78
cluster_04,2025-12-10 04:30:00,62.9,30.9,16.8,16.9,72.5,62.4,137.9,30.5,205.2,6.83
cluster_05,2025-12-10 04:30:00,91.6,28.3,15.5,15.7,73.4,68.5,143.6,31.8,206.3,6.84
cluster_06,2025-12-10 04:30:00,2.3,82.5,18.4,18.5,71.7,51.6,120.6,26.9,192.3,6.7
cluster_07,2025-12-10 04:30:00,35.3,70.4,17.3,17.6,75.4,56.1,131.0,29.1,199.4,6.77
cluster_08,2025-12-10 04:30:00,44.9,69.9,16.9,17.1,71.3,58.4,133.4,29.6,198.1,6.72
cluster_09,2025-12-10 04:30:00,66.9,75.4,17.0,17.0,73.6,58.3,134.9,30.4,203.2,6.75
cluster_10,2025-12-10 04:30:00,88.9,71.7,16.8,16.9,70.0,62.1,135.2,29.8,199.4,6.82
cluster_01,2025-12-10 05:00:00,8.0,32.2,17.8,18.2,69.2,58.7,132.4,28.8,201.3,6.73
cluster_02,2025-12-10 05:00:00,33.7,26.6,17.8,17.8,65.3,60.7,135.1,29.3,199.3,6.82
cluster_03,2025-12-10 05:00:00,44.5,19.5,17.9,17.5,69.3,61.4,137.7,30.1,200.5,6.83
cluster_04,2025-12-10 05:00:00,62.9,30.9,18.1,18.0,72.3,62.7,136.4,30.5,201.4,6.83
cluster_05,2025-12-10 05:00:00,91.6,28.3,17.0,16.6,72.4,67.8,143.2,31.2,203.0,6.87
cluster_06,2025-12-10 05:00:00,2.3,82.5,19.4,19.6,69.3,50.2,120.2,26.6,196.0,6.64
cluster_07,2025-12-10 05:00:00,35.3,70.4,18.0,18.6,71.8,57.2,129.1,28.2,198.4,6.77
cluster_08,2025-12-10 05:00:00,44.9,69.9,19.0,18.2,70.5,57.3,133.5,29.8,200.2,6.83
cluster_09,2025-12-10 05:00:00,66.9,75.4,18.3,17.9,70.9,57.3,134.2,29.8,196.8,6.77
cluster_10,2025-12-10 05:00:00,88.9,71.7,18.0,18.0,69.4,60.9,133.9,30.6,199.2,6.82
cluster_01,2025-12-10 05:30:00,8.0,32.2,19.6,19.2,67.8,56.9,132.9,29.9,200.1,6.73
cluster_02,2025-12-10 05:30:00,33.7,26.6,19.8,18.7,69.4,61.5,134.7,29.2,199.8,6.79
cluster_03,2025-12-10 05:30:00,44.5,19.5,17.7,18.6,65.4,62.1,133.8,30.2,200.8,6.9
cluster_04,2025-12-10 05:30:00,62.9,30.9,18.5,18.9,68.0,62.8,134.2,30.8,201.9,6.77
cluster_05,2025-12-10 05:30:00,91.6,28.3,17.8,17.7,64.1,69.8,143.4,31.7,205.4,6.81
cluster_06,2025-12-10 05:30:00,2.3,82.5,21.1,20.7,65.0,50.0,120.9,27.4,192.8,6.68
cluster_07,2025-12-10 05:30:00,35.3,70.4,20.0,19.5,61.7,56.1,129.4,28.1,195.3,6.71
cluster_08,2025-12-10 05:30:00,44.9,69.9,18.6,19.2,72.4,59.4,133.4,29.6,197.1,6.8
cluster_09,2025-12-10 05:30:00,66.9,75.4,19.2,18.9,67.2,61.6,134.9,29.0,199.5,6.9
cluster_10,2025-12-10 05:30:00,88.9,71.7,18.7,18.9,69.1,60.5,134.8,29.9,198.7,6.74
cluster_01,2025-12-10 06:00:00,8.0,32.2,20.1,20.2,69.6,56.4,132.0,29.3,197.9,6.79
cluster_02,2025-12-10 06:00:00,33.7,26.6,19.3,20.0,66.5,60.0,135.9,30.0,196.9,6.85
cluster_03,2025-12-10 06:00:00,44.5,19.5,20.1,19.7,64.1,60.8,137.5,29.8,200.8,6.83
cluster_04,2025-12-10 06:00:00,62.9,30.9,20.0,19.7,65.4,60.2,137.6,30.9,201.0,6.82
cluster_05,2025-12-10 06:00:00,91.6,28.3,18.4,18.6,65.8,66.1,142.0,31.4,206.8,6.88
cluster_06,2025-12-10 06:00:00,2.3,82.5,21.6,21.9,64.1,50.8,121.1,28.0,191.4,6.63
cluster_07,2025-12-10 06:00:00,35.3,70.4,20.6,20.6,63.0,56.8,130.5,29.2,197.4,6.75
cluster_08,2025-12-10 06:00:00,44.9,69.9,20.4,20.4,63.3,58.6,131.2,29.5,197.9,6.81
cluster_09,2025-12-10 06:00:00,66.9,75.4,19.5,19.9,68.7,61.4,133.5,30.4,199.2,6.77
cluster_10,2025-12-10 06:00:00,88.9,71.7,20.4,19.9,68.7,59.4,135.1,29.4,199.9,6.8
cluster_01,2025-12-10 06:30:00,8.0,32.2,21.3,21.5,58.7,59.2,133.4,29.7,198.4,6.85
cluster_02,2025-12-10 06:30:00,33.7,26.6,20.2,21.0,61.8,61.0,134.7,30.0,199.2,6.83
cluster_03,2025-12-10 06:30:00,44.5,19.5,21.3,20.7,64.9,62.3,136.6,30.0,200.4,6.87
cluster_04,2025-12-10 06:30:00,62.9,30.9,20.8,20.7,60.2,61.3,135.9,29.9,199.6,6.84
cluster_05,2025-12-10 06:30:00,91.6,28.3,19.8,19.7,61.8,67.9,144.6,30.9,207.6,6.94
cluster_06,2025-12-10 06:30:00,2.3,82.5,22.9,22.9,64.3,50.3,121.4,27.0,191.1,6.65
cluster_07,2025-12-10 06:30:00,35.3,70.4,21.4,22.0,64.3,55.1,130.9,29.1,196.9,6.73
cluster_08,2025-12-10 06:30:00,44.9,69.9,21.3,21.3,66.5,58.7,132.1,30.1,201.8,6.77
cluster_09,2025-12-10 06:30:00,66.9,75.4,20.4,20.9,63.4,59.3,134.1,29.2,199.0,6.84
cluster_10,2025-12-10 06:30:00,88.9,71.7,20.6,21.0,63.2,61.4,135.8,29.7,199.3,6.8
cluster_01,2025-12-10 07:00:00,8.0,32.2,22.2,22.5,61.2,58.2,130.8,29.3,198.7,6.83
cluster_02,2025-12-10 07:00:00,33.7,26.6,22.8,21.8,60.0,61.7,132.9,30.0,201.7,6.83
cluster_03,2025-12-10 07:00:00,44.5,19.5,21.6,22.1,58.8,63.1,135.0,31.0,203.0,6.75
cluster_04,2025-12-10 07:00:00,62.9,30.9,21.3,21.6,60.3,61.2,135.1,30.9,200.7,6.84
cluster_05,2025-12-10 07:00:00,91.6,28.3,20.1,20.7,60.1,66.2,144.9,31.8,203.5,6.92
cluster_06,2025-12-10 07:00:00,2.3,82.5,24.4,23.9,62.4,49.8,121.8,26.0,193.5,6.72
cluster_07,2025-12-10 07:00:00,35.3,70.4,22.7,23.0,60.1,58.8,131.2,28.8,194.1,6.79
cluster_08,2025-12-10 07:00:00,44.9,69.9,22.8,22.2,63.8,57.4,133.4,30.3,198.3,6.77
cluster_09,2025-12-10 07:00:00,66.9,75.4,21.9,22.1,57.9,57.9,132.8,30.3,199.1,6.78
cluster_10,2025-12-10 07:00:00,88.9,71.7,21.9,22.1,62.2,60.1,134.3,29.9,202.6,6.77
cluster_01,2025-12-10 07:30:00,8.0,32.2,24.4,23.4,54.1,57.1,130.3,29.3,194.2,6.7
cluster_02,2025-12-10 07:30:00,33.7,26.6,23.0,23.0,58.4,61.4,136.0,30.1,201.0,6.83
cluster_03,2025-12-10 07:30:00,44.5,19.5,22.9,23.0,58.1,62.5,135.2,30.6,200.5,6.83
cluster_04,2025-12-10 07:30:00,62.9,30.9,22.9,22.5,59.4,62.1,134.2,29.8,197.9,6.85
cluster_05,2025-12-10 07:30:00,91.6,28.3,22.4,21.9,58.3,65.3,143.3,31.5,199.4,6.95
cluster_06,2025-12-10 07:30:00,2.3,82.5,24.6,24.9,59.3,50.6,121.1,27.5,190.2,6.65
cluster_07,2025-12-10 07:30:00,35.3,70.4,25.0,24.1,55.3,55.2,131.6,28.2,196.2,6.72
cluster_08,2025-12-10 07:30:00,44.9,69.9,23.3,23.2,57.2,57.8,132.6,28.8,195.1,6.77
cluster_09,2025-12-10 07:30:00,66.9,75.4,23.6,23.3,57.8,60.1,133.8,29.7,199.0,6.81
cluster_10,2025-12-10 07:30:00,88.9,71.7,23.4,23.0,56.9,60.9,134.5,30.6,199.2,6.81
cluster_01,2025-12-10 08:00:00,8.0,32.2,24.4,24.5,54.1,59.4,129.8,29.8,197.8,6.73
cluster_02,2025-12-10 08:00:00,33.7,26.6,23.7,24.0,51.9,61.7,133.8,29.8,200.9,6.91
cluster_03,2025-12-10 08:00:00,44.5,19.5,24.8,23.7,53.5,60.7,137.9,29.8,198.4,6.76
cluster_04,2025-12-10 08:00:00,62.9,30.9,23.2,23.4,53.3,62.5,137.9,30.7,205.6,6.84
cluster_05,2025-12-10 08:00:00,91.6,28.3,22.7,22.7,54.6,68.0,144.5,31.5,202.4,6.87
cluster_06,2025-12-10 08:00:00,2.3,82.5,25.8,25.7,51.4,49.5,119.3,27.6,192.4,6.76
cluster_07,2025-12-10 08:00:00,35.3,70.4,25.2,25.1,53.7,56.2,130.0,29.3,197.2,6.84
cluster_08,2025-12-10 08:00:00,44.9,69.9,23.4,24.0,54.4,58.0,131.5,29.5,198.7,6.78
cluster_09,2025-12-10 08:00:00,66.9,75.4,25.0,24.5,56.5,59.0,134.8,30.3,201.0,6.83
cluster_10,2025-12-10 08:00:00,88.9,71.7,24.5,24.2,56.2,60.4,135.8,30.1,198.6,6.79
cluster_01,2025-12-10 08:30:00,8.0,32.2,24.8,25.3,55.0,57.9,133.0,29.1,196.9,6.83
cluster_02,2025-12-10 08:30:00,33.7,26.6,25.4,24.9,51.8,60.7,134.0,30.7,200.0,6.75
cluster_03,2025-12-10 08:30:00,44.5,19.5,24.4,24.8,54.3,61.7,135.3,29.5,199.9,6.74
cluster_04,2025-12-10 08:30:00,62.9,30.9,24.2,24.4,55.7,63.5,137.2,30.7,198.6,6.8
cluster_05,2025-12-10 08:30:00,91.6,28.3,24.2,23.7,52.6,67.9,142.4,31.0,203.2,6.95
cluster_06,2025-12-10 08:30:00,2.3,82.5,27.0,26.2,55.0,49.5,120.2,26.4,193.5,6.7
cluster_07,2025-12-10 08:30:00,35.3,70.4,26.1,26.0,49.0,56.5,131.3,29.7,197.3,6.69
cluster_08,2025-12-10 08:30:00,44.9,69.9,25.1,24.8,51.4,56.6,133.0,29.2,198.7,6.83
cluster_09,2025-12-10 08:30:00,66.9,75.4,25.5,25.4,51.6,58.9,132.9,30.3,200.5,6.77
cluster_10,2025-12-10 08:30:00,88.9,71.7,24.5,25.1,54.5,61.6,136.2,30.0,204.1,6.82
cluster_01,2025-12-10 09:00:00,8.0,32.2,26.5,25.9,51.0,59.0,132.2,29.4,196.3,6.73
cluster_02,2025-12-10 09:00:00,33.7,26.6,25.4,25.8,52.4,60.0,134.1,29.2,199.9,6.83
cluster_03,2025-12-10 09:00:00,44.5,19.5,24.9,25.7,52.2,60.1,135.1,30.1,201.0,6.78
cluster_04,2025-12-10 09:00:00,62.9,30.9,25.4,25.0,50.7,61.5,136.8,29.5,199.0,6.8
cluster_05,2025-12-10 09:00:00,91.6,28.3,24.2,24.3,50.4,67.4,142.1,32.4,203.5,6.87
cluster_06,2025-12-10 09:00:00,2.3,82.5,26.6,27.1,47.2,49.5,123.6,27.2,195.5,6.71
cluster_07,2025-12-10 09:00:00,35.3,70.4,26.5,26.2,50.7,58.4,129.7,29.2,194.6,6.73
cluster_08,2025-12-10 09:00:00,44.9,69.9,25.5,25.7,50.7,56.5,131.8,29.4,201.2,6.8
cluster_09,2025-12-10 09:00:00,66.9,75.4,26.4,25.9,53.0,59.9,132.6,29.9,200.1,6.76
cluster_10,2025-12-10 09:00:00,88.9,71.7,26.5,25.7,46.9,60.6,134.7,29.5,199.3,6.82
cluster_01,2025-12-10 09:30:00,8.0,32.2,26.2,26.3,47.0,57.8,131.5,29.1,197.7,6.77
cluster_02,2025-12-10 09:30:00,33.7,26.6,27.3,26.5,46.6,58.3,136.1,29.5,198.6,6.76
cluster_03,2025-12-10 09:30:00,44.5,19.5,26.9,26.2,52.8,61.9,137.4,30.2,203.1,6.88
cluster_04,2025-12-10 09:30:00,62.9,30.9,26.2,25.9,47.4,61.4,138.4,30.5,200.2,6.76
cluster_05,2025-12-10 09:30:00,91.6,28.3,24.9,25.0,51.1,67.6,143.0,32.0,203.6,6.96
cluster_06,2025-12-10 09:30:00,2.3,82.5,27.1,27.8,50.9,51.4,121.3,27.4,194.2,6.69
cluster_07,2025-12-10 09:30:00,35.3,70.4,27.1,26.7,53.6,55.2,131.0,28.6,199.9,6.85
cluster_08,2025-12-10 09:30:00,44.9,69.9,26.7,26.4,46.3,57.5,134.3,29.7,198.8,6.81
cluster_09,2025-12-10 09:30:00,66.9,75.4,26.5,26.4,49.9,59.3,133.6,30.0,193.2,6.88
cluster_10,2025-12-10 09:30:00,88.9,71.7,26.4,26.2,48.3,60.7,133.9,30.5,200.5,6.76
cluster_01,2025-12-10 10:00:00,8.0,32.2,27.5,26.9,46.2,59.8,131.8,29.1,201.9,6.81
cluster_02,2025-12-10 10:00:00,33.7,26.6,27.3,27.2,48.3,59.7,132.6,29.9,201.3,6.83
cluster_03,2025-12-10 10:00:00,44.5,19.5,27.7,26.9,47.3,61.8,136.6,30.5,201.9,6.87
cluster_04,2025-12-10 10:00:00,62.9,30.9,26.0,26.6,49.7,63.1,137.7,30.2,203.6,6.91
cluster_05,2025-12-10 10:00:00,91.6,28.3,25.3,25.4,48.5,70.7,143.3,32.1,206.2,6.88
cluster_06,2025-12-10 10:00:00,2.3,82.5,29.0,28.6,46.9,46.8,123.0,27.1,191.4,6.74
cluster_07,2025-12-10 10:00:00,35.3,70.4,26.4,27.2,49.3,58.4,130.3,29.1,197.4,6.75
cluster_08,2025-12-10 10:00:00,44.9,69.9,28.0,26.9,47.5,58.6,134.1,29.9,198.0,6.81
cluster_09,2025-12-10 10:00:00,66.9,75.4,26.2,26.8,43.0,57.8,133.2,29.9,199.9,6.84
cluster_10,2025-12-10 10:00:00,88.9,71.7,26.3,26.8,49.6,61.2,138.6,29.7,201.1,6.79
cluster_01,2025-12-10 10:30:00,8.0,32.2,26.8,27.3,47.9,59.5,130.4,29.2,199.6,6.73
cluster_02,2025-12-10 10:30:00,33.7,26.6,27.1,27.6,43.8,59.0,137.8,29.1,200.7,6.76
cluster_03,2025-12-10 10:30:00,44.5,19.5,27.2,27.6,47.9,59.4,135.3,30.0,199.0,6.83
cluster_04,2025-12-10 10:30:00,62.9,30.9,27.6,26.9,45.9,62.2,138.7,30.0,201.1,6.82
cluster_05,2025-12-10 10:30:00,91.6,28.3,26.6,26.0,47.0,67.4,142.5,31.4,206.6,6.92
cluster_06,2025-12-10 10:30:00,2.3,82.5,29.5,29.2,47.9,50.4,122.0,26.7,195.2,6.74
cluster_07,2025-12-10 10:30:00,35.3,70.4,27.7,27.4,50.9,57.2,130.5,28.3,197.7,6.7
cluster_08,2025-12-10 10:30:00,44.9,69.9,26.8,27.4,49.5,57.4,133.1,29.5,200.9,6.83
cluster_09,2025-12-10 10:30:00,66.9,75.4,27.3,27.1,47.1,58.6,134.1,28.7,196.0,6.83
cluster_10,2025-12-10 10:30:00,88.9,71.7,27.5,27.1,47.1,62.8,136.1,30.0,197.9,6.82
cluster_01,2025-12-10 11:00:00,8.0,32.2,27.5,27.8,44.2,57.5,134.0,29.4,197.2,6.79
cluster_02,2025-12-10 11:00:00,33.7,26.6,28.8,27.8,46.6,62.0,135.7,29.9,200.9,6.78
cluster_03,2025-12-10 11:00:00,44.5,19.5,28.0,27.7,45.9,60.1,136.4,30.5,205.6,6.74
cluster_04,2025-12-10 11:00:00,62.9,30.9,27.7,27.1,47.2,63.1,135.6,31.1,198.6,6.81
cluster_05,2025-12-10 11:00:00,91.6,28.3,26.2,26.4,43.1,68.1,143.4,30.7,203.7,6.96
cluster_06,2025-12-10 11:00:00,2.3,82.5,30.7,29.9,43.0,50.0,120.9,27.7,192.3,6.72
cluster_07,2025-12-10 11:00:00,35.3,70.4,28.1,27.6,47.4,56.8,130.5,29.6,198.4,6.78
cluster_08,2025-12-10 11:00:00,44.9,69.9,27.6,27.7,44.5,57.0,133.9,28.6,199.1,6.8
cluster_09,2025-12-10 11:00:00,66.9,75.4,27.8,27.5,44.9,59.6,133.0,29.8,200.6,6.83
cluster_10,2025-12-10 11:00:00,88.9,71.7,27.4,27.4,43.3,61.5,135.0,30.8,202.7,6.87
cluster_01,2025-12-10 11:30:00,8.0,32.2,28.5,28.0,45.6,58.6,131.6,29.1,199.5,6.72
cluster_02,2025-12-10 11:30:00,33.7,26.6,27.6,28.0,45.1,59.7,134.9,30.8,198.8,6.79
cluster_03,2025-12-10 11:30:00,44.5,19.5,28.4,27.7,47.8,60.9,135.2,31.2,201.2,6.81
cluster_04,2025-12-10 11:30:00,62.9,30.9,27.2,27.4,44.6,62.1,137.0,30.1,203.6,6.78
