cluster_id,timestamp,temperature_ambiante_c,temperature_sol_c,humidite_ambiante,humidite_sol,azote_mg_kg,phosphore_mg_kg,potassium_mg_kg,ph
cluster_02,2024-01-15 01:00:00,12.8,10.7,82.3,63.6,137.0,30.6,201.6,6.66
cluster_03,2024-01-15 01:00:00,12.5,10.1,84.7,63.7,137.3,29.6,206.4,6.65
cluster_04,2024-01-15 01:00:00,13.2,10.1,78.1,64.7,137.0,29.9,202.1,6.71
cluster_05,2024-01-15 01:00:00,12.0,10.2,87.7,60.4,136.1,29.3,203.3,6.67
cluster_06,2024-01-15 01:00:00,12.0,11.1,83.1,61.3,135.9,30.6,198.8,6.68
cluster_07,2024-01-15 01:00:00,13.6,10.8,85.9,62.2,133.9,30.1,198.7,6.44
cluster_08,2024-01-15 01:00:00,13.6,10.9,78.3,60.9,136.8,31.1,202.0,6.61
cluster_09,2024-01-15 01:00:00,13.1,11.2,83.4,61.4,134.6,29.6,202.3,6.8
cluster_10,2024-01-15 01:00:00,13.5,10.4,84.5,59.8,137.3,30.0,201.4,6.93
cluster_01,2024-01-15 01:30:00,15.3,12.5,85.6,61.4,134.4,31.0,206.1,6.81
cluster_02,2024-01-15 01:30:00,14.4,13.0,86.1,67.7,136.0,30.7,200.8,6.83
cluster_03,2024-01-15 01:30:00,14.2,12.4,88.4,67.8,136.3,29.7,205.6,6.83
cluster_04,2024-01-15 01:30:00,14.9,12.4,81.8,68.9,135.9,30.0,201.3,6.89
cluster_05,2024-01-15 01:30:00,13.6,12.5,91.5,64.6,135.1,29.4,202.5,6.84
cluster_06,2024-01-15 01:30:00,13.6,13.4,86.9,65.5,134.9,30.7,198.1,6.85
cluster_07,2024-01-15 01:30:00,15.2,13.2,89.6,66.4,132.8,30.2,197.9,6.61
cluster_08,2024-01-15 01:30:00,15.2,13.3,82.0,65.1,135.7,31.2,201.2,6.79
cluster_09,2024-01-15 01:30:00,14.7,13.5,87.2,65.5,133.5,29.6,201.5,6.98
cluster_10,2024-01-15 01:30:00,15.2,12.7,88.2,64.0,136.2,30.1,200.6,7.1
cluster_01,2024-01-15 02:00:00,13.1,11.5,81.7,60.4,135.4,30.8,204.0,6.7
cluster_02,2024-01-15 02:00:00,12.2,12.0,82.2,66.8,136.9,30.6,198.7,6.72
cluster_03,2024-01-15 02:00:00,12.0,11.4,84.5,66.9,137.2,29.6,203.5,6.71
cluster_04,2024-01-15 02:00:00,12.7,11.4,77.9,67.9,136.9,29.8,199.2,6.77
cluster_05,2024-01-15 02:00:00,11.5,11.5,87.6,63.7,136.0,29.3,200.4,6.73
cluster_06,2024-01-15 02:00:00,11.4,12.4,83.0,64.6,135.8,30.5,196.0,6.74
cluster_07,2024-01-15 02:00:00,13.1,12.1,85.7,65.4,133.8,30.0,195.8,6.5
cluster_08,2024-01-15 02:00:00,13.1,12.2,78.1,64.2,136.6,31.0,199.1,6.67
cluster_09,2024-01-15 02:00:00,12.6,12.5,83.2,64.6,134.4,29.5,199.4,6.86
cluster_10,2024-01-15 02:00:00,13.0,11.7,84.3,63.0,137.2,29.9,198.5,6.99
cluster_01,2024-01-15 02:30:00,13.7,11.8,75.6,59.7,135.6,31.1,207.5,6.75
cluster_02,2024-01-15 02:30:00,12.8,12.3,76.1,66.0,137.2,30.9,202.2,6.77
cluster_03,2024-01-15 02:30:00,12.6,11.6,78.5,66.1,137.5,29.9,207.0,6.77
cluster_04,2024-01-15 02:30:00,13.3,11.7,71.9,67.2,137.1,30.1,202.7,6.83
cluster_05,2024-01-15 02:30:00,12.1,11.8,81.5,62.9,136.2,29.6,203.9,6.79
cluster_06,2024-01-15 02:30:00,12.0,12.6,76.9,63.8,136.1,30.8,199.5,6.79
cluster_07,2024-01-15 02:30:00,13.6,12.4,79.7,64.7,134.0,30.3,199.3,6.56
cluster_08,2024-01-15 02:30:00,13.7,12.5,72.0,63.4,136.9,31.3,202.6,6.73
cluster_09,2024-01-15 02:30:00,13.2,12.7,77.2,63.8,134.7,29.8,202.9,6.92
cluster_10,2024-01-15 02:30:00,13.6,11.9,78.3,62.3,137.4,30.2,202.0,7.04
cluster_01,2024-01-15 03:00:00,17.1,12.0,72.9,61.7,135.3,30.7,205.9,6.7
cluster_02,2024-01-15 03:00:00,16.2,12.5,73.5,68.0,136.9,30.4,200.7,6.73
cluster_03,2024-01-15 03:00:00,16.0,11.8,75.8,68.1,137.2,29.4,205.4,6.72
cluster_04,2024-01-15 03:00:00,16.7,11.8,69.2,69.2,136.8,29.7,201.2,6.78
cluster_05,2024-01-15 03:00:00,15.5,12.0,78.8,64.9,135.9,29.1,202.4,6.74
cluster_06,2024-01-15 03:00:00,15.4,12.8,74.2,65.8,135.7,30.4,197.9,6.75
cluster_07,2024-01-15 03:00:00,17.1,12.6,77.0,66.7,133.7,29.9,197.7,6.51
cluster_08,2024-01-15 03:00:00,17.1,12.7,69.4,65.4,136.6,30.9,201.0,6.68
cluster_09,2024-01-15 03:00:00,16.6,12.9,74.5,65.8,134.4,29.4,201.3,6.87
cluster_10,2024-01-15 03:00:00,17.0,12.1,75.6,64.3,137.1,29.8,200.4,7.0
cluster_01,2024-01-15 03:30:00,16.7,12.1,75.1,64.6,133.5,31.2,204.3,6.67
cluster_02,2024-01-15 03:30:00,15.8,12.6,75.7,71.0,135.1,30.9,199.0,6.69
cluster_03,2024-01-15 03:30:00,15.6,12.0,78.0,71.1,135.4,29.9,203.8,6.69
cluster_04,2024-01-15 03:30:00,16.3,12.0,71.4,72.1,135.0,30.2,199.5,6.75
cluster_05,2024-01-15 03:30:00,15.0,12.1,81.0,67.9,134.2,29.6,200.7,6.71
cluster_06,2024-01-15 03:30:00,15.0,13.0,76.4,68.7,134.0,30.9,196.3,6.71
cluster_07,2024-01-15 03:30:00,16.6,12.7,79.2,69.6,131.9,30.4,196.1,6.48
cluster_08,2024-01-15 03:30:00,16.6,12.8,71.6,68.3,134.8,31.3,199.4,6.65
cluster_09,2024-01-15 03:30:00,16.1,13.1,76.7,68.8,132.6,29.8,199.7,6.84
cluster_10,2024-01-15 03:30:00,16.5,12.3,77.8,67.2,135.3,30.3,198.8,6.97
cluster_01,2024-01-15 04:00:00,15.7,13.0,67.5,62.0,134.2,30.8,201.7,6.79
cluster_02,2024-01-15 04:00:00,14.8,13.5,68.0,68.4,135.8,30.6,196.4,6.81
cluster_03,2024-01-15 04:00:00,14.6,12.9,70.4,68.5,136.0,29.5,201.2,6.81
cluster_04,2024-01-15 04:00:00,15.3,12.9,63.8,69.5,135.7,29.8,196.9,6.87
cluster_05,2024-01-15 04:00:00,14.0,13.1,73.4,65.3,134.8,29.3,198.1,6.82
cluster_06,2024-01-15 04:00:00,14.0,13.9,68.8,66.1,134.6,30.5,193.7,6.83
cluster_07,2024-01-15 04:00:00,15.6,13.7,71.6,67.0,132.6,30.0,193.5,6.59
cluster_08,2024-01-15 04:00:00,15.6,13.8,64.0,65.8,135.5,31.0,196.8,6.77
cluster_09,2024-01-15 04:00:00,15.1,14.0,69.1,66.2,133.3,29.5,197.1,6.96
cluster_10,2024-01-15 04:00:00,15.6,13.2,70.2,64.6,136.0,29.9,196.2,7.08
cluster_01,2024-01-15 04:30:00,18.2,13.1,74.6,62.7,134.5,30.5,207.4,6.8
cluster_02,2024-01-15 04:30:00,17.3,13.6,75.2,69.1,136.1,30.3,202.1,6.82
cluster_03,2024-01-15 04:30:00,17.0,13.0,77.5,69.2,136.4,29.3,206.9,6.82
cluster_04,2024-01-15 04:30:00,17.7,13.0,70.9,70.2,136.1,29.5,202.6,6.88
cluster_05,2024-01-15 04:30:00,16.5,13.1,80.5,65.9,135.2,29.0,203.8,6.84
cluster_06,2024-01-15 04:30:00,16.5,14.0,75.9,66.8,135.0,30.2,199.4,6.84
cluster_07,2024-01-15 04:30:00,18.1,13.8,78.7,67.7,132.9,29.7,199.2,6.6
cluster_08,2024-01-15 04:30:00,18.1,13.9,71.1,66.4,135.8,30.7,202.5,6.78
cluster_09,2024-01-15 04:30:00,17.6,14.1,76.2,66.9,133.6,29.2,202.8,6.97
cluster_10,2024-01-15 04:30:00,18.0,13.3,77.3,65.3,136.3,29.6,201.9,7.09
cluster_01,2024-01-15 05:00:00,17.6,14.1,70.2,62.3,134.6,30.8,202.9,6.73
cluster_02,2024-01-15 05:00:00,16.8,14.6,70.7,68.6,136.2,30.6,197.7,6.75
cluster_03,2024-01-15 05:00:00,16.5,13.9,73.0,68.7,136.5,29.6,202.4,6.75
cluster_04,2024-01-15 05:00:00,17.2,14.0,66.4,69.8,136.2,29.8,198.2,6.81
cluster_05,2024-01-15 05:00:00,16.0,14.1,76.1,65.5,135.3,29.3,199.4,6.77
cluster_06,2024-01-15 05:00:00,15.9,14.9,71.5,66.4,135.1,30.5,194.9,6.78
cluster_07,2024-01-15 05:00:00,17.6,14.7,74.2,67.3,133.0,30.0,194.7,6.54
cluster_08,2024-01-15 05:00:00,17.6,14.8,66.6,66.0,135.9,31.0,198.0,6.71
cluster_09,2024-01-15 05:00:00,17.1,15.0,71.8,66.4,133.7,29.5,198.3,6.9
cluster_10,2024-01-15 05:00:00,17.5,14.2,72.8,64.9,136.5,29.9,197.4,7.03
cluster_01,2024-01-15 05:30:00,18.7,14.8,62.7,62.3,135.2,30.7,202.6,6.63
cluster_02,2024-01-15 05:30:00,17.8,15.3,63.2,68.7,136.8,30.4,197.3,6.65
cluster_03,2024-01-15 05:30:00,17.6,14.6,65.5,68.8,137.0,29.4,202.1,6.65
cluster_04,2024-01-15 05:30:00,18.2,14.7,58.9,69.8,136.7,29.7,197.8,6.71
cluster_05,2024-01-15 05:30:00,17.0,14.8,68.6,65.6,135.8,29.1,199.0,6.67
cluster_06,2024-01-15 05:30:00,17.0,15.6,64.0,66.4,135.6,30.4,194.6,6.68
cluster_07,2024-01-15 05:30:00,18.6,15.4,66.7,67.3,133.6,29.8,194.4,6.44
cluster_08,2024-01-15 05:30:00,18.6,15.5,59.1,66.0,136.5,30.8,197.7,6.61
cluster_09,2024-01-15 05:30:00,18.1,15.7,64.3,66.5,134.3,29.3,198.0,6.8
cluster_10,2024-01-15 05:30:00,18.5,14.9,65.3,64.9,137.0,29.8,197.1,6.93
cluster_01,2024-01-15 06:00:00,20.8,13.9,56.4,65.5,134.8,31.0,205.8,6.74
cluster_02,2024-01-15 06:00:00,19.9,14.4,56.9,71.8,136.4,30.7,200.5,6.76
cluster_03,2024-01-15 06:00:00,19.7,13.8,59.2,72.0,136.7,29.7,205.3,6.75
cluster_04,2024-01-15 06:00:00,20.3,13.8,52.6,73.0,136.3,30.0,201.0,6.81
cluster_05,2024-01-15 06:00:00,19.1,13.9,62.2,68.7,135.4,29.4,202.2,6.77
cluster_06,2024-01-15 06:00:00,19.1,14.8,57.7,69.6,135.2,30.7,197.7,6.78
cluster_07,2024-01-15 06:00:00,20.7,14.5,60.4,70.5,133.2,30.1,197.6,6.54
cluster_08,2024-01-15 06:00:00,20.7,14.6,52.8,69.2,136.1,31.1,200.8,6.71
cluster_09,2024-01-15 06:00:00,20.2,14.9,57.9,69.6,133.9,29.6,201.1,6.9
cluster_10,2024-01-15 06:00:00,20.6,14.1,59.0,68.1,136.6,30.1,200.2,7.03
cluster_01,2024-01-15 06:30:00,18.6,14.6,62.9,63.6,133.6,30.7,207.4,6.78
cluster_02,2024-01-15 06:30:00,17.7,15.1,63.5,70.0,135.1,30.4,202.1,6.8
cluster_03,2024-01-15 06:30:00,17.5,14.5,65.8,70.1,135.4,29.4,206.9,6.8
cluster_04,2024-01-15 06:30:00,18.2,14.5,59.2,71.1,135.1,29.6,202.6,6.86
cluster_05,2024-01-15 06:30:00,16.9,14.6,68.8,66.9,134.2,29.1,203.8,6.82
cluster_06,2024-01-15 06:30:00,16.9,15.5,64.2,67.7,134.0,30.4,199.4,6.82
cluster_07,2024-01-15 06:30:00,18.5,15.2,67.0,68.6,132.0,29.8,199.2,6.59
cluster_08,2024-01-15 06:30:00,18.5,15.3,59.4,67.3,134.8,30.8,202.5,6.76
cluster_09,2024-01-15 06:30:00,18.0,15.6,64.5,67.8,132.6,29.3,202.8,6.95
cluster_10,2024-01-15 06:30:00,18.4,14.7,65.6,66.2,135.4,29.7,201.9,7.08
cluster_01,2024-01-15 07:00:00,19.9,16.1,56.0,65.7,134.9,30.7,206.1,6.69
cluster_02,2024-01-15 07:00:00,19.0,16.6,56.5,72.0,136.5,30.4,200.8,6.71
cluster_03,2024-01-15 07:00:00,18.8,15.9,58.8,72.1,136.8,29.4,205.6,6.7
cluster_04,2024-01-15 07:00:00,19.5,16.0,52.2,73.2,136.4,29.7,201.3,6.77
cluster_05,2024-01-15 07:00:00,18.2,16.1,61.9,68.9,135.5,29.1,202.5,6.72
cluster_06,2024-01-15 07:00:00,18.2,16.9,57.3,69.8,135.4,30.4,198.1,6.73
cluster_07,2024-01-15 07:00:00,19.8,16.7,60.0,70.7,133.3,29.9,197.9,6.49
cluster_08,2024-01-15 07:00:00,19.8,16.8,52.4,69.4,136.2,30.9,201.2,6.67
cluster_09,2024-01-15 07:00:00,19.3,17.0,57.5,69.8,134.0,29.3,201.5,6.86
cluster_10,2024-01-15 07:00:00,19.7,16.2,58.6,68.3,136.7,29.8,200.6,6.98
cluster_01,2024-01-15 07:30:00,22.6,16.9,57.6,65.4,135.1,30.4,205.1,6.77
cluster_02,2024-01-15 07:30:00,21.7,17.4,58.1,71.8,136.6,30.1,199.8,6.79
cluster_03,2024-01-15 07:30:00,21.5,16.8,60.4,71.9,136.9,29.1,204.6,6.79
cluster_04,2024-01-15 07:30:00,22.2,16.8,53.8,73.0,136.6,29.4,200.3,6.85
cluster_05,2024-01-15 07:30:00,21.0,16.9,63.4,68.7,135.7,28.9,201.5,6.81
cluster_06,2024-01-15 07:30:00,20.9,17.8,58.9,69.6,135.5,30.1,197.1,6.81
cluster_07,2024-01-15 07:30:00,22.6,17.5,61.6,70.5,133.5,29.6,196.9,6.58
cluster_08,2024-01-15 07:30:00,22.6,17.6,54.0,69.2,136.4,30.6,200.2,6.75
cluster_09,2024-01-15 07:30:00,22.1,17.9,59.1,69.6,134.1,29.1,200.5,6.94
cluster_10,2024-01-15 07:30:00,22.5,17.1,60.2,68.1,136.9,29.5,199.6,7.06
cluster_01,2024-01-15 08:00:00,22.9,17.5,46.7,67.5,135.0,30.7,205.1,6.76
cluster_02,2024-01-15 08:00:00,22.0,18.0,47.2,73.8,136.6,30.4,199.8,6.78
cluster_03,2024-01-15 08:00:00,21.8,17.4,49.5,73.9,136.9,29.4,204.6,6.78
cluster_04,2024-01-15 08:00:00,22.5,17.4,42.9,75.0,136.5,29.7,200.3,6.84
cluster_05,2024-01-15 08:00:00,21.2,17.5,52.6,70.7,135.6,29.1,201.5,6.8
cluster_06,2024-01-15 08:00:00,21.2,18.4,48.0,71.6,135.4,30.4,197.1,6.8
cluster_07,2024-01-15 08:00:00,22.8,18.1,50.7,72.5,133.4,29.9,196.9,6.57
cluster_08,2024-01-15 08:00:00,22.8,18.2,43.1,71.2,136.3,30.8,200.2,6.74
cluster_09,2024-01-15 08:00:00,22.3,18.5,48.3,71.6,134.1,29.3,200.5,6.93
cluster_10,2024-01-15 08:00:00,22.7,17.7,49.3,70.1,136.8,29.8,199.6,7.05
cluster_01,2024-01-15 08:30:00,25.8,19.5,47.5,67.8,135.4,30.3,205.4,6.79
cluster_02,2024-01-15 08:30:00,24.9,20.0,48.0,74.1,137.0,30.0,200.1,6.81
cluster_03,2024-01-15 08:30:00,24.6,19.4,50.3,74.3,137.3,29.0,204.9,6.81
cluster_04,2024-01-15 08:30:00,25.3,19.4,43.8,75.3,136.9,29.3,200.6,6.87
cluster_05,2024-01-15 08:30:00,24.1,19.5,53.4,71.0,136.0,28.7,201.8,6.83
cluster_06,2024-01-15 08:30:00,24.0,20.4,48.8,71.9,135.8,30.0,197.3,6.83
cluster_07,2024-01-15 08:30:00,25.7,20.1,51.6,72.8,133.8,29.5,197.2,6.6
cluster_08,2024-01-15 08:30:00,25.7,20.2,43.9,71.5,136.7,30.4,200.4,6.77
cluster_09,2024-01-15 08:30:00,25.2,20.5,49.1,71.9,134.5,28.9,200.8,6.96
cluster_10,2024-01-15 08:30:00,25.6,19.6,50.2,70.4,137.2,29.4,199.8,7.08
cluster_01,2024-01-15 09:00:00,24.7,18.6,47.4,69.3,135.2,30.5,205.2,6.77
cluster_02,2024-01-15 09:00:00,23.8,19.1,47.9,75.7,136.7,30.2,199.9,6.79
cluster_03,2024-01-15 09:00:00,23.6,18.4,50.2,75.8,137.0,29.2,204.7,6.78
cluster_04,2024-01-15 09:00:00,24.3,18.5,43.6,76.9,136.7,29.4,200.4,6.85
cluster_05,2024-01-15 09:00:00,23.0,18.6,53.3,72.6,135.8,28.9,201.6,6.8
cluster_06,2024-01-15 09:00:00,23.0,19.4,48.7,73.5,135.6,30.1,197.2,6.81
cluster_07,2024-01-15 09:00:00,24.6,19.2,51.4,74.4,133.6,29.6,197.0,6.57
cluster_08,2024-01-15 09:00:00,24.6,19.3,43.8,73.1,136.5,30.6,200.3,6.75
cluster_09,2024-01-15 09:00:00,24.1,19.5,48.9,73.5,134.3,29.1,200.6,6.94
cluster_10,2024-01-15 09:00:00,24.6,18.7,50.0,72.0,137.0,29.5,199.7,7.06
cluster_01,2024-01-15 09:30:00,24.6,19.6,45.8,67.4,134.8,30.9,204.6,6.71
cluster_02,2024-01-15 09:30:00,23.7,20.1,46.3,73.8,136.4,30.6,199.3,6.74
cluster_03,2024-01-15 09:30:00,23.5,19.4,48.6,73.9,136.7,29.6,204.1,6.73
cluster_04,2024-01-15 09:30:00,24.2,19.5,42.0,75.0,136.4,29.9,199.8,6.79
cluster_05,2024-01-15 09:30:00,23.0,19.6,51.7,70.7,135.5,29.4,201.0,6.75
cluster_06,2024-01-15 09:30:00,22.9,20.4,47.1,71.6,135.3,30.6,196.6,6.76
cluster_07,2024-01-15 09:30:00,24.6,20.2,49.8,72.5,133.2,30.1,196.4,6.52
cluster_08,2024-01-15 09:30:00,24.6,20.3,42.2,71.2,136.1,31.1,199.7,6.69
cluster_09,2024-01-15 09:30:00,24.1,20.5,47.3,71.6,133.9,29.6,200.0,6.88
cluster_10,2024-01-15 09:30:00,24.5,19.7,48.4,70.1,136.7,30.0,199.1,7.01
cluster_01,2024-01-15 10:00:00,29.5,20.4,42.8,68.2,134.4,30.9,204.4,6.82
cluster_02,2024-01-15 10:00:00,28.6,20.9,43.3,74.5,136.0,30.6,199.1,6.84
cluster_03,2024-01-15 10:00:00,28.4,20.2,45.6,74.7,136.3,29.6,203.9,6.84
cluster_04,2024-01-15 10:00:00,29.1,20.3,39.1,75.7,135.9,29.9,199.6,6.9
cluster_05,2024-01-15 10:00:00,27.9,20.4,48.7,71.4,135.0,29.4,200.8,6.86
cluster_06,2024-01-15 10:00:00,27.8,21.2,44.1,72.3,134.8,30.6,196.3,6.86
cluster_07,2024-01-15 10:00:00,29.5,21.0,46.9,73.2,132.8,30.1,196.2,6.63
cluster_08,2024-01-15 10:00:00,29.5,21.1,39.2,71.9,135.7,31.1,199.4,6.8
cluster_09,2024-01-15 10:00:00,29.0,21.3,44.4,72.3,133.5,29.6,199.7,6.99
cluster_10,2024-01-15 10:00:00,29.4,20.5,45.5,70.8,136.2,30.0,198.8,7.12
cluster_01,2024-01-15 10:30:00,27.5,21.4,44.9,67.4,133.1,30.8,204.1,6.76
cluster_02,2024-01-15 10:30:00,26.6,21.9,45.4,73.7,134.7,30.6,198.8,6.78
cluster_03,2024-01-15 10:30:00,26.3,21.3,47.7,73.9,135.0,29.6,203.6,6.77
cluster_04,2024-01-15 10:30:00,27.0,21.3,41.1,74.9,134.6,29.8,199.3,6.83
cluster_05,2024-01-15 10:30:00,25.8,21.4,50.8,70.6,133.7,29.3,200.5,6.79
cluster_06,2024-01-15 10:30:00,25.8,22.3,46.2,71.5,133.5,30.5,196.1,6.8
cluster_07,2024-01-15 10:30:00,27.4,22.0,48.9,72.4,131.5,30.0,195.9,6.56
cluster_08,2024-01-15 10:30:00,27.4,22.1,41.3,71.1,134.4,31.0,199.2,6.73
cluster_09,2024-01-15 10:30:00,26.9,22.4,46.5,71.5,132.2,29.5,199.5,6.92
cluster_10,2024-01-15 10:30:00,27.3,21.5,47.5,70.0,134.9,29.9,198.6,7.05
cluster_01,2024-01-15 11:00:00,28.2,21.6,39.0,68.4,134.7,30.6,203.3,6.76
cluster_02,2024-01-15 11:00:00,27.3,22.1,39.5,74.8,136.3,30.3,198.0,6.78
cluster_03,2024-01-15 11:00:00,27.1,21.4,41.8,74.9,136.6,29.3,202.7,6.78
cluster_04,2024-01-15 11:00:00,27.8,21.5,35.2,75.9,136.3,29.5,198.5,6.84
cluster_05,2024-01-15 11:00:00,26.6,21.6,44.9,71.6,135.4,29.0,199.7,6.8
cluster_06,2024-01-15 11:00:00,26.5,22.4,40.3,72.5,135.2,30.2,195.2,6.8
cluster_07,2024-01-15 11:00:00,28.2,22.2,43.0,73.4,133.1,29.7,195.1,6.56
cluster_08,2024-01-15 11:00:00,28.2,22.3,35.4,72.1,136.0,30.7,198.3,6.74
cluster_09,2024-01-15 11:00:00,27.7,22.5,40.5,72.6,133.8,29.2,198.6,6.93
cluster_10,2024-01-15 11:00:00,28.1,21.7,41.6,71.0,136.6,29.6,197.7,7.05
cluster_01,2024-01-15 11:30:00,26.2,23.1,41.2,69.8,134.5,30.7,203.8,6.72
cluster_02,2024-01-15 11:30:00,25.3,23.6,41.7,76.1,136.1,30.5,198.5,6.74
cluster_03,2024-01-15 11:30:00,25.1,23.0,44.1,76.2,136.4,29.4,203.3,6.73
cluster_04,2024-01-15 11:30:00,25.8,23.0,37.5,77.3,136.1,29.7,199.0,6.79
cluster_05,2024-01-15 11:30:00,24.5,23.1,47.1,73.0,135.2,29.2,200.2,6.75
cluster_06,2024-01-15 11:30:00,24.5,24.0,42.5,73.9,135.0,30.4,195.8,6.76
cluster_07,2024-01-15 11:30:00,26.1,23.7,45.3,74.8,132.9,29.9,195.6,6.52
cluster_08,2024-01-15 11:30:00,26.1,23.8,37.7,73.5,135.8,30.9,198.9,6.7
cluster_09,2024-01-15 11:30:00,25.6,24.1,42.8,73.9,133.6,29.4,199.2,6.88
cluster_10,2024-01-15 11:30:00,26.1,23.3,43.9,72.4,136.4,29.8,198.3,7.01
cluster_01,2024-01-15 12:00:00,27.6,24.0,41.9,70.4,134.6,30.7,202.1,6.74
cluster_02,2024-01-15 12:00:00,26.7,24.5,42.4,76.7,136.1,30.5,196.8,6.76
cluster_03,2024-01-15 12:00:00,26.5,23.8,44.7,76.9,136.4,29.4,201.5,6.76
cluster_04,2024-01-15 12:00:00,27.2,23.9,38.1,77.9,136.1,29.7,197.3,6.82
cluster_05,2024-01-15 12:00:00,25.9,24.0,47.7,73.6,135.2,29.2,198.5,6.77
cluster_06,2024-01-15 12:00:00,25.9,24.8,43.2,74.5,135.0,30.4,194.0,6.78
cluster_07,2024-01-15 12:00:00,27.5,24.6,45.9,75.4,133.0,29.9,193.9,6.54
cluster_08,2024-01-15 12:00:00,27.5,24.7,38.3,74.1,135.9,30.9,197.1,6.72
cluster_09,2024-01-15 12:00:00,27.0,24.9,43.4,74.5,133.7,29.4,197.4,6.91
cluster_10,2024-01-15 12:00:00,27.4,24.1,44.5,73.0,136.4,29.8,196.5,7.03
cluster_01,2024-01-15 12:30:00,28.5,25.0,43.2,67.8,133.3,30.5,203.9,6.72
cluster_02,2024-01-15 12:30:00,27.6,25.5,43.7,74.2,134.9,30.2,198.6,6.74
cluster_03,2024-01-15 12:30:00,27.4,24.9,46.0,74.3,135.2,29.2,203.4,6.73
cluster_04,2024-01-15 12:30:00,28.1,24.9,39.4,75.3,134.8,29.5,199.1,6.8
cluster_05,2024-01-15 12:30:00,26.8,25.0,49.1,71.1,133.9,28.9,200.3,6.75
cluster_06,2024-01-15 12:30:00,26.8,25.9,44.5,71.9,133.8,30.2,195.9,6.76
cluster_07,2024-01-15 12:30:00,28.4,25.6,47.2,72.8,131.7,29.7,195.7,6.52
cluster_08,2024-01-15 12:30:00,28.4,25.8,39.6,71.5,134.6,30.6,199.0,6.7
cluster_09,2024-01-15 12:30:00,28.0,26.0,44.8,72.0,132.4,29.1,199.3,6.89
cluster_10,2024-01-15 12:30:00,28.4,25.2,45.8,70.4,135.1,29.6,198.4,7.01
cluster_01,2024-01-15 13:00:00,26.4,25.8,44.3,70.4,133.4,31.0,202.8,6.75
cluster_02,2024-01-15 13:00:00,25.5,26.3,44.8,76.7,135.0,30.8,197.5,6.78
cluster_03,2024-01-15 13:00:00,25.3,25.7,47.1,76.9,135.3,29.7,202.3,6.77
cluster_04,2024-01-15 13:00:00,26.0,25.7,40.5,77.9,135.0,30.0,198.0,6.83
cluster_05,2024-01-15 13:00:00,24.8,25.8,50.2,73.6,134.1,29.5,199.2,6.79
cluster_06,2024-01-15 13:00:00,24.7,26.7,45.6,74.5,133.9,30.7,194.8,6.8
cluster_07,2024-01-15 13:00:00,26.3,26.4,48.3,75.4,131.8,30.2,194.6,6.56
cluster_08,2024-01-15 13:00:00,26.4,26.5,40.7,74.1,134.7,31.2,197.9,6.73
cluster_09,2024-01-15 13:00:00,25.9,26.8,45.9,74.5,132.5,29.7,198.2,6.92
cluster_10,2024-01-15 13:00:00,26.3,25.9,46.9,73.0,135.3,30.1,197.3,7.05
cluster_01,2024-01-15 13:30:00,28.4,26.2,39.6,70.9,135.1,30.9,202.6,6.85
